words;weights
X000;1
X075;3
X0909;1
X0910;1
X099;1
X100;2
X100m;1
X1085;3
X10min;1
X110;1
X13apple;1
X13th;1
X1415;1
X16gb;1
X16gbs;1
X180;1
X18092013;1
X18th;2
X199;3
X1am;1
X1jazzyjeff;1
X1st;1
X200;2
X2000ad;1
X2001;1
X2002;1
X2004;1
X2005;2
X2011with;1
X2013;4
X2014;3
X20th;4
X211;1
X21st;1
X22000;1
X22nd;1
X244tsuyoponzu;6
X2nd;2
X2shaneez;1
X2week;1
X300;2
X30aud;1
X30mins;1
X320k;1
X350;1
X3gs;1
X3rd;1
X3yr;1
X40000;1
X40k;1
X40mb;1
X4eva;1
X500;1
X528;1
X549;2
X550;1
X55cs;1
X55mb;1
X5cheap;2
X5s5c;2
X5same;1
X5sc;2
X5sdo;1
X5slfw;1
X5th;2
X600;1
X6000;1
X64bit;4
X65min;1
X6monthlifespan;1
X719;1
X740;1
X777;1
X7evenstarz;7
X7pm;1
X7wow;1
X86m;1
X884;1
X899;1
X8bitsound;1
X900;1
X917;1
X99preorder;1
a7s;1
aaaaaapple;1
aapl;2
abrsm;1
absolutely;4
abt;2
acampan;1
acceptable;1
access;4
accidentally;2
acciones;3
according;1
accordingtonina;1
account;4
accurate;1
ace;1
achievement;1
achieves;1
achieving;1
acquires;1
act;1
acting;4
action;1
activist;1
activists;1
actual;1
actually;8
adambain;5
add;5
added;3
addictions;1
adding;1
address;1
adds;1
adjust;1
admit;1
admitting;1
adobe;1
adopters;1
adornar;1
adpromo;1
advanced;1
advantage;1
adventure;1
advertising;1
afford;1
affordable;1
afuera;1
againthe;1
aggressive;1
ago;2
agounalakis;1
agree;1
agreement;1
ahead;1
aheaux;2
ahi;1
ahora;1
aid;1
aiming;2
aint;6
air;1
airbnb;1
aires;1
airplay;1
airwaysmagazine;2
akemisue;1
alaric;1
alarm;4
alarms;1
album;2
alcagimizi;1
alert;1
alfredopetas;1
algilari;1
algo;1
ali;1
alip;1
alleen;1
aller;1
allow;2
allowing;1
allows;1
allre;1
almost;3
already;11
als;1
alshepmh;1
also;5
although;1
alum;1
alumnart;1
always;8
amazing;7
amazon;11
americascup;1
amerikada;1
amount;2
analogdanny;1
analyse;1
analysts;1
android;23
androids;1
andymiah;2
annieftmccann;1
announce;3
announced;3
announcement;6
announcements;2
announces;4
announcing;1
annoyed;1
annoying;4
anodized;1
anong;1
another;3
ans;1
answer;1
ant;1
ante;2
antenna;1
anti;1
anticipation;1
antireflective;1
antoneg;1
anunciarse;1
anuncio;1
anybody;2
anymore;2
anyone;19
anyones;1
anything;1
anythng;1
anyway;3
anyways;1
apa;1
apetece;1
api;1
app;39
apparently;4
appl;1
apple;1297
applebashing;1
appleberry;1
applecare;2
applecom;2
appled;1
appledevcenter;1
appleevent;1
applefreak;1
appleinsider;1
applenews;2
applenws;3
applepicking;1
applequestionierr;1
applereason;1
applerort;1
apples;32
applestoreamsterdam;1
appletax;1
appletv;4
appletweets;5
applewhy;1
applewow;1
appointment;1
apportando;1
approve;1
approved;1
approves;1
apps;15
appstore;7
appt;1
aprovecha;1
apt;1
arabic;1
archrival;2
arent;7
argh;2
ari;1
arianagrande;1
around;3
arrogance;1
artcenteralum;1
article;5
asap;1
ashamed;1
asi;4
asia;1
asian;1
aside;1
ask;1
asked;1
asking;3
asks;3
asleep;1
asphalt8;1
assistance;1
astrologyzone;1
att;3
attached;1
attack;1
attributeownership;1
audio;1
australia;2
australians;1
authorized;1
auto;3
autocomplete;1
autocorrect;2
autocorrects;1
autofill;1
automakers;1
automatically;1
autoplay;1
autotext;2
available;10
avidprotools;2
avoninspire;1
aware;1
away;6
awesome;8
axel;1
axis;1
ayo;1
ayudamovistarve;5
back;20
backchannel;1
backdoor;1
backed;2
background;1
backs;1
backwards;1
bad;5
baixar;1
baixou;1
baja;1
bajan;1
ball;1
balls;1
banca;3
bandwagon;1
banget;1
banging;1
bankrupt;1
banned;2
bar;2
barackobama;2
baratos;3
bare;1
based;1
basic;1
basically;4
bateria;1
battalalgoos;3
batteries;2
batterij;1
battery;18
battle;2
bb10;1
bbm;1
bbm4all;2
bbry;1
bby;1
bdwallace;1
beard;1
beasted;1
beat;2
beats;1
beautiful;2
beautifully;1
